Bron: Thumbs up?,Titel resultaat,Ranking,Link/resultaat,"Query ",Relevant?,vrije tags page,Bronnen DB,Bron: Inst/Bedrijf,Toegankelijkheid doelgroep (indruk),Soort Resultaat,Bron: Vrije labels,Bron: Commerciality,Bron: Sector,Q: soort,Bron: reclame,Opmerking,Q: Ranking vrije labels,Bron: doel,Bron: Trackers,OnderzoekNr,Related to Bronnen DB test (Resultaten DB),Bronnen: URL domein,Query: Video Schooltv,Created by,Bron-Status,Created time,Bron: Onderwerp
Ja,Giraffen - Wikipedia,3,https://nl.wikipedia.org/wiki/Giraffen,waar leven giraffen (https://www.notion.so/waar-leven-giraffen-5cf76a29daaa460b850a0458980022e1?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Vragen,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"1, 3",Maarten Sprenger,Done,"December 14, 2023 5:17 PM",
Ja,Homepage,3,https://www.spiere-helkijn.be/,spiere (https://www.notion.so/spiere-3dec73a148c846c3a209a95df161f7a9?pvs=21),relevant,homepage,spiere-helkijn.be (https://www.notion.so/spiere-helkijn-be-36dc8c16bdbc4b48b9432bd2081742d7?pvs=21),Gemeente Spiere-Helkijn,nvt,navigational,"informatie_primair_doel,overheidsinfo (of i.o.v.)",not_for_profit,Overheid (of i.o.v.),Eén woord,no_ads,,,"overheidsinformatie (overige),overheidsinformatie (wetten/regels)",2,1,,https://www.spiere-helkijn.be/,-,Maarten Sprenger,Done,"December 14, 2023 4:53 PM",
Just-in-case,Sierra Leone - Global Talk,3,https://www.globaltalk.nl/landen/sierra-leone/,welke stammen zijn er in sierra leone (https://www.notion.so/welke-stammen-zijn-er-in-sierra-leone-58bf738f4d8d4516ae99b3c867324f93?pvs=21),relevant,,globaltalk.nl (https://www.notion.so/globaltalk-nl-d36b7e1d4dd744bdb7c469d8f6ace8cc?pvs=21),Global Talk,complex,informatief,"(product)informatie ihkv verkoop/bezoek,ISO-certificaten (2/24),bedrijfsinfo/uithangbord",commercieel,Winkels en bedrijven div,Vragen,no_ads,,,product-/bedrijfsinfo + uithangbord,2,1,,https://www.globaltalk.nl,-,Maarten Sprenger,Almost completed,"December 14, 2023 3:05 PM",
Nee,Piramide - Wikikids,3,https://www.wikikids.nl/Piramide,belangrijkste piramide (https://www.notion.so/belangrijkste-piramide-558862a6e95a4e1ca0feca88f0a08949?pvs=21),relevant,,wikikids.nl (https://www.notion.so/wikikids-nl-eb5089cf47f64c5db5b78f0628175216?pvs=21),"Stichting Wikikids, ondersteund door Kennisnet; about-pagina is al lang niet geüpdatet. ",redelijk_begrijpelijk,informatief,"community,doelgroep PO/8-12,informatie_primair_doel,user_generated_content,wiki",not_for_profit,Amateur/vrijwilligersverenigingen,2 of meer woorden,no_ads,"Aardige inleiding, aardige informatie, redelijk leesniveau. Wel bronvermelding.",,gebruikersplatform geen kwaliteitsgarantie non-comm.,4,1,,https://wikikids.nl/,2,Maarten Sprenger,Done,"December 14, 2023 2:36 PM",
Just-in-case,Trillingen,3,https://natuurkundeuitgelegd.nl/videolessen.php?video=trillingen,trilling (https://www.notion.so/trilling-4e379957ae6d409e9c5ae4d64e941c0a?pvs=21),relevant,,natuurkundeuitgelegd.nl (https://www.notion.so/natuurkundeuitgelegd-nl-458fb53d4bf74fd080b668d2b32755eb?pvs=21),Erik van Munster,complex,informatief,"informatie_primair_doel,paywall (geheel/gedeeltelijk)",commercieel,Leraren/Docenten,Eén woord,no_ads,Video’s achter pay-wall,,"kwaliteitsinfo-onderwijs (gratis),onderwijscontent (betaald)",1,1,,https://natuurkundeuitgelegd.nl,-,Maarten Sprenger,Done,"December 14, 2023 2:17 PM",
Nee,Kindermotor - Kidsrides,3,https://www.kidsrides.nl/kindermotor/,kindermotors (https://www.notion.so/kindermotors-4bbda4a3433f4ec09655bab8d8352779?pvs=21),misschien,webshop_result_page,kidsrides.nl (https://www.notion.so/kidsrides-nl-b237a657622347c183a571684d1b55e7?pvs=21),Kidsrides,nvt,transactional,webshop,commercieel,Winkels en bedrijven div,Eén woord,company_promotion,,(Bijna) alleen shops op de query,webshop/winkel+promotioneel deel,18,1,,https://www.kidsrides.nl/,-,Maarten Sprenger,Done,"December 14, 2023 1:57 PM",
Nee,Mobiele telefoons - Vergelijken & Kopen - Belsimpel,3,https://www.belsimpel.nl/telefoon,telefoon (https://www.notion.so/telefoon-45535dd2e1ad4c1bb92912bcffbd8109?pvs=21),misschien,webshop_result_page,belsimpel.nl (https://www.notion.so/belsimpel-nl-c0d6e2a069da4559b4d6eeef9fa0bd46?pvs=21),Belsimpel,nvt,transactional,webshop,commercieel,Winkels en bedrijven div,Eén woord,company_promotion,,,webshop/winkel+promotioneel deel,4,1,,https://www.belsimpel.nl/,-,Maarten Sprenger,Done,"December 14, 2023 1:27 PM",
Just-in-case,Aanmelden Facebook -log in,3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fgroups%2F994653607546091%2F,paard hond en wolf (https://www.notion.so/paard-hond-en-wolf-423e179cb1c14b5389fdf91bd7305a2c?pvs=21),relevant,,facebook.com (https://www.notion.so/facebook-com-05ea9be69e884499b87e7677ca2f6ded?pvs=21),Meta,nvt,navigational,"BigTech,infinite_scroll,log_in (geheel/gedeeltelijk),platform (algemeen/specifiek),social_media,user_generated_content",ultra_commercieel,BigTech,2 of meer woorden,many_ads,,,gebruikersplatform geen kwaliteitsgarantie comm.,6,1,,https://www.facebook.com,-,Maarten Sprenger,Done,"December 14, 2023 12:44 PM",
Nee,"De Vikingen: kasten, kleding en sieraden | Kunst en Cultuur: Geschiedenis",3,https://kunst-en-cultuur.infonu.nl/geschiedenis/183921-de-vikingen-kasten-kleding-en-sieraden.html,kleren van vikingen (https://www.notion.so/kleren-van-vikingen-55358f1560a94de5b2c5aa837d036d10?pvs=21),relevant,,infonu.nl (https://www.notion.so/infonu-nl-6520774802424dcfb63c55ddeb32833f?pvs=21),,redelijk_begrijpelijk,informatief,user_generated_content,commercieel,Online-bedrijven,2 of meer woorden,many_ads,,(Bijna) alleen shops op de query,gebruikersplatform geen kwaliteitsgarantie comm.,3,1,,https://www.infonu.nl/,-,Maarten Sprenger,Done,"December 14, 2023 12:03 PM","dieren,geschiedenis,gezondheid,lichaam,natuur,royalty,zelfzorg,zorg"
Just-in-case,Dé dierentuin voor kinderen | Ontdek DierenPark Amersfoort,3,https://dierenparkamersfoort.nl/,Dierentuin (https://www.notion.so/Dierentuin-401b0f0781a449d9a81d3fff3865216f?pvs=21),relevant,homepage,dierenparkamersfoort.nl (https://www.notion.so/dierenparkamersfoort-nl-4cc194c711e84506a740cda841b7f1ba?pvs=21),DierenPark Amersfoort,redelijk_begrijpelijk,informatief,"(product)informatie ihkv verkoop/bezoek,bedrijfsinfo/uithangbord,promotioneel",commercieel,Dierentuinen (stichting/bedrijf),Eén woord,company_promotion,,,product-/bedrijfsinfo + uithangbord,6,1,,https://dierenparkamersfoort.nl,"4, ",Carsten Schnober,Almost completed,"November 26, 2023 2:23 PM",dieren
Ja,Microbiologie van A tot Z uitgelegd - Micropia - Micropia,3,https://www.micropia.nl/nl/ontdek/microbiologie/voortplanting/,voortplanting (https://www.notion.so/voortplanting-2b152c7844bd4d288ef86d2f16b5cc6f?pvs=21),relevant,,micropia.nl (https://www.notion.so/micropia-nl-4f0895bef1a14b3c83e946d69b874db2?pvs=21),Micropia,redelijk_begrijpelijk,informatief,"(product)informatie ihkv verkoop/bezoek,encyclopedie,kennisbank/centrum,log_in (geheel/gedeeltelijk),promotioneel,webshop",not_for_profit,Musea en archieven,Eén woord,no_ads,museum,,"kennisbank/centrum +,kwaliteitsinfo-musea,product-/bedrijfsinfo + uithangbord",2,1,,micropia.nl,9 en veel @BiologiemetJoost,Carsten Schnober,Done,"November 25, 2023 12:53 PM",dieren
Nee,Gratis woordenboek | Van Dale NEDERLAND,3,https://www.vandale.nl/gratis-woordenboek/frans-nederlands/vertaling/rencontre,Rencontre (https://www.notion.so/Rencontre-4976ed403c3a41fa9b39b8d46c26cff6?pvs=21),relevant,,vandale.nl (https://www.notion.so/vandale-nl-87218c57bef042bb8a19a09a8b7b9974?pvs=21),"Van Dale Uitgevers, Utrecht/Antwerpen",redelijk_begrijpelijk,informatief,"paywall (geheel/gedeeltelijk),webshop,woordenboek",commercieel,Uitgevers (educatief/literair),Eén woord,"company_promotion,over_the_top_ads",,,informatieproduct div. commercieel,4,1,,https://www.vandale.nl/,-,Maarten Sprenger,Done,"November 6, 2023 11:42 AM",
Ja,Populairste kindernamen 2022 | Pers en nieuws | SVB,3,https://www.svb.nl/nl/pers-en-nieuws/nieuwsberichten/emma-en-noah-de-populairste-kindernamen-van-2022,populairenamen (https://www.notion.so/populairenamen-304f6b8f148a4d289d5106f01f9ee3f2?pvs=21),relevant,,svb.nl (https://www.notion.so/svb-nl-6c4c9ccbe9d7480a81589501d0946176?pvs=21),De Sociale Verzekeringsbank,redelijk_begrijpelijk,informatief,"beeldbank,informatie_primair_doel,kennisbank/centrum,overheidsinfo (of i.o.v.)",not_for_profit,Overheid (of i.o.v.),2 of meer woorden,no_ads,,,"kennisbank/centrum +,overheidsinformatie (overige)",6,1,,https://www.svb.nl,-,Maarten Sprenger,Done,"November 6, 2023 11:08 AM",
Nee,Orgaan - Wikikids,3,https://wikikids.nl/Orgaan,Wat zijn organen (https://www.notion.so/Wat-zijn-organen-3f6f45e0c469429386dc050b33d33922?pvs=21),relevant,,wikikids.nl (https://www.notion.so/wikikids-nl-eb5089cf47f64c5db5b78f0628175216?pvs=21),"Stichting Wikikids, ondersteund door Kennisnet; about-pagina is al lang niet geüpdatet. ",nvt,navigational,"community,doelgroep PO/8-12,informatie_primair_doel,user_generated_content,wiki",not_for_profit,Amateur/vrijwilligersverenigingen,Vragen,no_ads,"wat vaag, cellen, weefsel zijn als term belangrijk",,gebruikersplatform geen kwaliteitsgarantie non-comm.,4,1,,https://wikikids.nl/,"4, 9",Maarten Sprenger,Done,"November 6, 2023 9:42 AM",
Ja,Edelmetaal - Wikipedia,3,https://nl.wikipedia.org/wiki/Edelmetaal,Waarom zijn edelmetalen geschrikt om geld te maken (https://www.notion.so/Waarom-zijn-edelmetalen-geschrikt-om-geld-te-maken-42b20f772f2640e39ca1771668717a1b?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Vragen,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,-,Maarten Sprenger,Done,"November 4, 2023 9:28 PM",
Nee,Vogelhuisjes kopen? | Dé specialist in Vogelhuisjes,3,https://www.vogelhuisjes.nl/,vogels huisjes (https://www.notion.so/vogels-huisjes-3948769079d9428c86a71218375f1239?pvs=21),misschien,"homepage, webshop_result_page",Vogelhuisjes.nl (https://www.notion.so/Vogelhuisjes-nl-5da774da7eb34e32a3953b58b7224518?pvs=21),Trino,nvt,transactional,webshop,commercieel,Winkels en bedrijven div,2 of meer woorden,company_promotion,,(Bijna) alleen shops op de query,alleen webshop,8,1,,https://www.vogelhuisjes.nl/,"8, 10",Maarten Sprenger,Done,"November 4, 2023 9:09 PM",
Ja,Bewegen | RIVM,3,https://www.rivm.nl/determinanten-van-gezondheid/bewegen,beweging (https://www.notion.so/beweging-2e3e1ce75cab46868d38bfe1abc3435f?pvs=21),relevant,,rivm.nl (https://www.notion.so/rivm-nl-c4a18be864174a56b3a02f42b3250b81?pvs=21),Rijksinstituut voor Volksgezondheid en Milieu (RIVM),redelijk_begrijpelijk,informatief,"kennisbank/centrum,overheidsinfo (of i.o.v.)",not_for_profit,Overheid (of i.o.v.),Eén woord,no_ads,,,"kennisbank/centrum +,overheidsinformatie (overige)",3,1,,https://www.rivm.nl/,-,Maarten Sprenger,Done,"November 4, 2023 8:36 PM",
Just-in-case,Genealogie Online,3,https://www.genealogieonline.nl/,stamboom  familie (https://www.notion.so/stamboom-familie-2e574be5dd484af494bcac5a627dc7f5?pvs=21),relevant,,genealogieonline.nl (https://www.notion.so/genealogieonline-nl-e836c01c9f7841f2946932e8082c9e44?pvs=21),Coret Genealogie,complex,navigational,"log_in (geheel/gedeeltelijk),paywall (geheel/gedeeltelijk),promotioneel,webshop",commercieel,Online-bedrijven,2 of meer woorden,company_promotion,,,informatieproduct div. commercieel,1,1,,https://www.genealogieonline.nl,- (1 x klokhuis:8),Maarten Sprenger,Almost completed,"November 4, 2023 7:13 PM",
Nee,"Meest bekeken mooie naakte vrouwen, de top 100 - Seks Met",3,https://seksmet.nl/meest-bekeken-mooie-naakte-vrouwen-de-top-100/,echte naakte vrouw (https://www.notion.so/echte-naakte-vrouw-53bf267840d548d28a0219c92dcac643?pvs=21),misschien,,seksmet.nl (https://www.notion.so/seksmet-nl-4bf6e74903af467dbc1dc6d2cbf0f8ec?pvs=21),Seks Met,nvt,informatief,porno,commercieel,Online-bedrijven,2 of meer woorden,company_promotion,,,entertainment,2,1,,https://seksmet.nl/,-,Maarten Sprenger,Done,"November 4, 2023 6:45 PM",
Just-in-case,zebrahaai - Google Zoeken videos,3,https://www.google.nl/search?sca_esv=579468707&tbm=vid&q=zebrahaai&sa=X&ved=2ahUKEwi1uomY2KqCAxXUzgIHHUytBpQQ8ccDegQIERAH,zebrahaai (https://www.notion.so/zebrahaai-2c098929e5a24bb2be75febf68ad1727?pvs=21),relevant,zoekmachine_facet_link,google.nl/com (https://www.notion.so/google-nl-com-7c0c28e0af774374ba7898b99657f780?pvs=21),Aphabet,nvt,navigational,"BigTech,zoekmachines",commercieel,BigTech,Eén woord,many_ads,,Weinig bruikbaar v deze query,informatieproduct div. commercieel,13,1,,https://www.google.com/,-,Maarten Sprenger,Almost completed,"November 4, 2023 4:53 PM",
Just-in-case,De Leerboom: leerbegeleiding basis en voortgezet onderwijs,3,https://deleerboom.nl/,juf hanne de leerboom (https://www.notion.so/juf-hanne-de-leerboom-acd01233f0324705ad1ddb3cb65126ce?pvs=21),niet_relevant,homepage,deleerboom.nl (https://www.notion.so/deleerboom-nl-8960e96e6f5a40af8e0d5c71d169d654?pvs=21),De Leerboom,nvt,navigational,bedrijfsinfo/uithangbord,not_for_profit,Onderwijsinstelling div,Named entity,no_ads,,,product-/bedrijfsinfo + uithangbord,2,1,,https://deleerboom.nl/,-,Maarten Sprenger,Done,"November 4, 2023 4:14 PM",
Ja,mlochemie,3,https://www.mlochemie.nl/index.php?option=com_content&view=article&id=52&Itemid=67,elektronen (https://www.notion.so/elektronen-26275a54828443e3b94ed11f9998f25a?pvs=21),relevant,,mlochemie.nl (https://www.notion.so/mlochemie-nl-2a9722247d684241bc5946b20bf763d9?pvs=21),"mlochemie, uitgeverij Syntax Media.",complex,informatief,"doelgroep VO/12+,informatie_primair_doel,onderwijscontent,vakinformatie/beroepsinfo",commercieel,Uitgevers (educatief/literair),Eén woord,no_ads,,,kwaliteitsinfo-onderwijs (gratis),1,1,,https://www.mlochemie.nl,-,Maarten Sprenger,Needs peer-review,"November 4, 2023 3:17 PM",
Just-in-case,Blog | Je naam voor altijd verbonden met je uitvinding  | EP&C,3,https://www.epc.nl/blog/eerbetoon-aan-uitvinders-je-naam-voor-altijd-verbonden-met-je-uitvinding,Uitvindingen       naam (https://www.notion.so/Uitvindingen-naam-240377982641466f8da652aa8cb49f58?pvs=21),relevant,,epc.nl (https://www.notion.so/epc-nl-3422338fbd1c4a8ab1c1af4cd24f5bf6?pvs=21),EP&C Patent Attorneys,complex,informatief,"bedrijfsinfo/uithangbord,kennisbank/centrum,vakinformatie/beroepsinfo",commercieel,Winkels en bedrijven div,Unfinished,company_promotion,,,product-/bedrijfsinfo + uithangbord,11,1,,https://www.epc.nl/,"1, 5, 6",Maarten Sprenger,Done,"November 4, 2023 2:17 PM",
Ja,Hond - Wikipedia,3,https://nl.wikipedia.org/wiki/Hond,een hond (https://www.notion.so/een-hond-1e9dbefcd97c4af983366ee77497d80f?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,-,Maarten Sprenger,Done,"November 4, 2023 1:36 PM",
Ja,Slavenhandel - Zeeuwse Ankers,3,https://www.zeeuwseankers.nl/verhaal/slavenhandel,Slavenhandel (https://www.notion.so/Slavenhandel-1b98130630dc4e4996434f1dec90dde8?pvs=21),relevant,,zeeuwseankers.nl (https://www.notion.so/zeeuwseankers-nl-746abaf750a44067b7b35d1a768e0103?pvs=21),Samenwerkingsverband Zeeuwse Ankers / Erfgoed Zeeland,redelijk_begrijpelijk,informatief,"informatie_primair_doel,kennisbank/centrum,meertalig",not_for_profit,Musea en archieven,Eén woord,no_ads,,,kennisbank/centrum +,1,1,,https://www.zeeuwseankers.nl/,veel: 1..5 en 8..10! Dus 8 vd 10,Maarten Sprenger,Almost completed,"November 3, 2023 10:02 PM",geschiedenis
Nee,Waterbuffel skull echt,3,https://www.skulldecoratie.nl/waterbuffel-model-1,waterbuffel (https://www.notion.so/waterbuffel-1e5325f9bcc44fd3ad85e3e7f3ed96a7?pvs=21),niet_relevant,webshop_result_page,skulldecoratie.nl (https://www.notion.so/skulldecoratie-nl-c1b78d0c75a4460981363844181d0ae4?pvs=21),Skulldecoratie.nl,nvt,transactional,webshop,commercieel,Winkels en bedrijven div,Eén woord,company_promotion,,(Bijna) alleen shops op de query,alleen webshop,3,1,,https://www.skulldecoratie.nl/,-,Maarten Sprenger,Done,"November 3, 2023 9:05 PM",
Ja,Hirohito - Keizer van Japan | Historiek,3,https://historiek.net/hirohito-keizer-japan-tweede-wereldoorlog/61218/,hirohito (https://www.notion.so/hirohito-175a1a4527664c8cb6469d4e6128f0dd?pvs=21),relevant,,historiek.net (https://www.notion.so/historiek-net-0ce2835c0c0f4f46b1d5da25179f4618?pvs=21),Historiek vof,complex,informatief,"journalistiek,paywall (geheel/gedeeltelijk),webshop",commercieel,Uitgevers (educatief/literair),Eén woord,"affiliate_marketing_2/24,many_ads",,,informatieproduct div. commercieel,7,1,,https://historiek.net/,-,Maarten Sprenger,Needs peer-review,"November 2, 2023 8:42 PM",geschiedenis
Just-in-case,Uitgefloten Cristiano Ronaldo maant supporters tot stilte na Messi-gezang en vraagt om wissel van scheidsrechter | Buitenlands voetbal | AD.nl,3,https://www.ad.nl/buitenlands-voetbal/uitgefloten-cristiano-ronaldo-maant-supporters-tot-stilte-na-messi-gezang-en-vraagt-om-wissel-van-scheidsrechter~adb42a37/?referrer=https%3A%2F%2Fwww.google.nl%2F,ronaldo (https://www.notion.so/ronaldo-0e9d22129bc04ca8b941ce2baf9605f7?pvs=21),relevant,,ad.nl (https://www.notion.so/ad-nl-800ddede7f5540d287ff3686fdacefa9?pvs=21),"AD, DPG Media Group",redelijk_begrijpelijk,informatief,"abo-print,journalistiek,nieuws,paywall (geheel/gedeeltelijk)",commercieel,Uitgevers (journalistiek),Named entity,"company_promotion,many_ads",,,journalistiek informatieproduct (betaald),15,1,,https://www.ad.nl/,-,Maarten Sprenger,Done,"November 2, 2023 8:00 PM",
Just-in-case,"Paris Saint-Germain Uitslagen, statistieken en samenvattingen - ESPN (NL)",3,https://www.espn.nl/voetbal/team/_/id/160/paris-saint-germain,paris saint germain (https://www.notion.so/paris-saint-germain-1160e5f3d7f845ddae72c347344da1b6?pvs=21),niet_relevant,,espn.nl (https://www.notion.so/espn-nl-02ddc5dff1164a49bfee0df61d07c017?pvs=21),"ESPN Enterprises Inc, a Walt Disney Company",nvt,navigational,"about-voorbeeld,entertainment,infinite_scroll,journalistiek,nieuws,paywall (geheel/gedeeltelijk)",commercieel,Entertainment-industrie,Named entity,"company_promotion,many_ads",,,"entertainment,journalistiek informatieproduct (betaald)",21,1,,https://www.espn.nl/,-,Maarten Sprenger,Done,"November 2, 2023 4:32 PM",
Ja,Bezoekers | Visit Brussels,3,https://www.visit.brussels/nl/bezoekers,brussel (https://www.notion.so/brussel-132884d2b59f4047be5983a8a360a79a?pvs=21),relevant,,visit.brussels (https://www.notion.so/visit-brussels-82b992e6b093480fbd54795155106f51?pvs=21),Brussels Hoofdstedelijk Gewest.,redelijk_begrijpelijk,informatief,"overheidsinfo (of i.o.v.),promotioneel,streekpromotie",not_for_profit,Overheid (of i.o.v.),Eén woord,company_promotion,,,"overheidsinformatie (overige),promotionele sites",8,1,,https://www.visit.brussels/,-,Maarten Sprenger,Almost completed,"November 1, 2023 1:30 PM",
Just-in-case,De Smurfen | Netflix,3,https://www.netflix.com/nl/title/81330960,De smurfen (https://www.notion.so/De-smurfen-05eba1766e2c4cbdad0aa7966f31dce2?pvs=21),relevant,,netflix.com (https://www.notion.so/netflix-com-8df5da8a09194fdd904807e8ada368a8?pvs=21),"Netflix, Inc.",eenvoudig,navigational,"entertainment,paywall (geheel/gedeeltelijk)",commercieel,Entertainment-industrie,Named entity,company_promotion,,,entertainment,3,1,,https://www.netflix.com/nl/,-,Maarten Sprenger,Done,"November 1, 2023 11:57 AM",
Just-in-case,leven - Google Zoeken video,3,https://www.google.com/search?sca_esv=578070544&rlz=1C5CHFA_enNL1081NL1081&tbm=vid&q=leven&sa=X&ved=2ahUKEwi33c_X-Z-CAxUFxQIHHat4A2cQ8ccDegQIDRAH,leven (https://www.notion.so/leven-02f3db3a11374250a2116c65c6d0975c?pvs=21),relevant,zoekmachine_facet_link,google.nl/com (https://www.notion.so/google-nl-com-7c0c28e0af774374ba7898b99657f780?pvs=21),Aphabet,nvt,navigational,"BigTech,zoekmachines",commercieel,BigTech,Named entity,many_ads,,,informatieproduct div. commercieel,13,1,,https://www.google.com/,-,Maarten Sprenger,Almost completed,"October 31, 2023 10:28 AM",
Ja,Wie zijn wij? - Fairtrade Nederland,3,https://www.fairtradenederland.nl/wie-zijn-wij/,keurmerk max (https://www.notion.so/keurmerk-max-0b7073e594d347ad89a634d8d7f6a35d?pvs=21),relevant,,fairtradenederland.nl (https://www.notion.so/fairtradenederland-nl-a0a28c80581e4807aff0f71ecdfc9876?pvs=21),"Fairtrade Nederland, Stichting Max Havelaar",redelijk_begrijpelijk,informatief,"bedrijfsinfo/uithangbord,portal",not_for_profit,NGO/Goede doelen site,2 of meer woorden,company_promotion,,,informatie in het kader van goed doel,3,1,,https://www.fairtradenederland.nl/,-,Maarten Sprenger,Almost completed,"October 30, 2023 9:44 AM",
Ja,De Belgische Monarchie,3,https://www.monarchie.be/nl,koning van belgieje (https://www.notion.so/koning-van-belgieje-0cdef146c7eb4e7f8f72205969db9da1?pvs=21),relevant,,monarchie.be (https://www.notion.so/monarchie-be-44c30980c61a4af2bb9ad5c15a763245?pvs=21),De Belgische Monarchie,complex,informatief,"informatie_primair_doel,kinder/jeugdsectie,overheidsinfo (of i.o.v.),voorlichting",not_for_profit,Overheid (of i.o.v.),2 of meer woorden,no_ads,,,overheidsinformatie (overige),3,1,,https://www.monarchie.be/,-,Maarten Sprenger,Done,"October 26, 2023 2:41 PM",
Just-in-case,De Midellandse Zee Nieuwegein | Officiële Website | Gratis drankje!,3,https://www.demiddellandsezee.nl/,middellandse zee (https://www.notion.so/middellandse-zee-03030bea7e1e409ea9ac02ae6f55b17a?pvs=21),niet_relevant,webshop_result_page,demiddellandsezee.nl (https://www.notion.so/demiddellandsezee-nl-5cf5a304aa5d4cffa8e641afc45c537d?pvs=21),Pizzeria Grillroom De Middellandse Zee,nvt,transactional,"bedrijfsinfo/uithangbord,webshop",commercieel,Horeca/Uitgaan,Named entity,no_ads,,,product-/bedrijfsinfo + uithangbord,0,1,,https://www.demiddellandsezee.nl/,-,Maarten Sprenger,Done,"October 26, 2023 2:14 PM",
Nee,Gratis woordenboek | Van Dale NEDERLAND,3,https://www.vandale.nl/gratis-woordenboek/nederlands/betekenis/schotse,wat betekent schotse (https://www.notion.so/wat-betekent-schotse-02f4c6330bdb4ee2aedd31b60a04a595?pvs=21),relevant,,vandale.nl (https://www.notion.so/vandale-nl-87218c57bef042bb8a19a09a8b7b9974?pvs=21),"Van Dale Uitgevers, Utrecht/Antwerpen",complex,informatief,"paywall (geheel/gedeeltelijk),webshop,woordenboek",commercieel,Uitgevers (educatief/literair),Vragen,"company_promotion,over_the_top_ads",,,informatieproduct div. commercieel,4,1,,https://www.vandale.nl/,-,Maarten Sprenger,Done,"October 26, 2023 12:17 PM",
Just-in-case,Zorgverzekering vergelijken 2024 - Nu € 20 Bol cadeaukaart,4,https://www.geld.nl/zorgverzekering,geld (https://www.notion.so/geld-03503decdc9c4a2ca52fb56abf285fc8?pvs=21),niet_relevant,,geld.nl (https://www.notion.so/geld-nl-0cdc1d3d640b46fe859f069bf8f504de?pvs=21),"Geld.nl, Paul Huibers & Sieto de Vries",nvt,transactional,review/vergelijkings-sites,commercieel,Online-bedrijven,Eén woord,company_promotion,,,informatieproduct div. commercieel,1,1,,https://www.geld.nl/,- (klokhuis 9),Maarten Sprenger,Needs peer-review,"January 15, 2024 3:44 PM",
Ja,Lijst van onroerend erfgoed in Aarschot - Wikipedia,4,https://nl.wikipedia.org/wiki/Lijst_van_onroerend_erfgoed_in_Aarschot,rillaar monumenten (https://www.notion.so/rillaar-monumenten-3df617918032408e97f9222387714a30?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,redelijk_begrijpelijk,navigational,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,2 of meer woorden,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"- ",Maarten Sprenger,Done,"January 15, 2024 1:08 PM",
Nee,23 Rare feitjes waar je niks aan hebt maar die leuk zijn om te lezen.,4,https://www.saarmagazine.nl/23-rare-feitjes-waar-je-niks-aan-hebt-maar-die-leuk-zijn-om-te-lezen/,wist je dat? (https://www.notion.so/wist-je-dat-2f01ede35afc48bd9d01d365f87f9d14?pvs=21),relevant,,saarmagazine.nl (https://www.notion.so/saarmagazine-nl-d5d0de7d4a5d491f9501c38acd6d7fc4?pvs=21),"Saar Magazine, Snippet Media",redelijk_begrijpelijk,informatief,"abo-print,infotainment",commercieel,Uitgevers (div. commercieel),Named entity,"company_promotion,many_ads",,,informatieproduct div. commercieel,19,1,,https://www.saarmagazine.nl,"- ",Maarten Sprenger,Done,"January 15, 2024 11:35 AM",
Nee,Klokken | Klokkenpaleis | Grootste Collectie Klokken,4,https://www.klokkenpaleis.nl/,klokken (https://www.notion.so/klokken-ea2491d6631741438a45be51ea12006e?pvs=21),relevant,"homepage, webshop_result_page",klokkenpaleis.nl (https://www.notion.so/klokkenpaleis-nl-536b5e37688e48b79bc9c74d34142c26?pvs=21),Klokkenpaleis.nl,nvt,transactional,webshop,commercieel,Winkels en bedrijven div,Eén woord,company_promotion,,(Bijna) alleen shops op de query,alleen webshop,1,1,,https://www.klokkenpaleis.nl/,"- ",Maarten Sprenger,Done,"January 15, 2024 11:11 AM",
